Tanggal,Wilayah,Stasiun,Temperatur minimum,Temperatur maksimum,Temperatur rata-rata,Kelembapan rata-rata,Curah hujan, Lamanya penyinaran matahari ,Kecepatan angin maksimum,Arah angin saat kecepatan maksimum ,Kecepatan angin rata-rata,Arah angin terbanyak,
1/1/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,23.6,29.8,26.3,87,14.5,0,4,320,1,C ,
2/1/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,24.2,29.4,27.5,81,31.5,0.7,4,320,2,NW,
3/1/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,25,29.6,26.6,82,0.5,0,6,316,1,C ,
4/1/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,24.4,30,26.4,86,2.4,,5,316,1,C ,
5/1/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,24,32.6,27.4,83,35.3,,4,317,2,C ,
6/1/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,24.4,33.4,29.6,68,2.3,2.2,4,316,1,C ,
7/1/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27,33.8,29.6,70,0,6.2,4,340,2,C ,
8/1/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.6,32,28.1,76,0,8,8,320,2,C ,
9/1/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,,32.6,29,73,0,3.8,5,320,3,NW,
10/1/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.2,34.4,30.1,65,0,5,6,320,1,C ,
11/1/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.2,32,28.8,73,0,5,4,320,1,C ,
12/1/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,,32.4,29.1,71,0,0,3,320,0,C ,
13-01-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,25,32.6,29.2,74,0,8.3,5,320,1,C ,
14-01-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.8,32,29.2,72,0,4.5,3,300,1,C ,
15-01-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.4,34.8,29.8,69,0,6.4,4,260,2,NW,
16-01-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.4,32.4,28.9,70,0,6.5,4,320,1,C ,
17-01-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26,29.4,27.6,77,0,1.2,5,290,1,C ,
18-01-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.2,31.6,27.7,78,0,0,7,317,1,C ,
19-01-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,25.8,30.8,27.5,81,3,1,6,250,2,W ,
20-01-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26,32.4,28.6,72,0,2.4,3,290,1,C ,
21-01-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,25,31.8,28.6,74,0,3,8,320,2,C ,
22-01-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.4,33.4,29.2,71,0,5,6,250,2,W ,
23-01-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26,32.2,28.6,70,0,6,3,270,2,W ,
24-01-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26,34,29.1,71,0,3.2,7,320,2,C ,
25-01-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,25,30.2,27.2,78,0,5.5,4,316,1,C ,
26-01-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.2,30.4,27.8,79,0,0,3,280,1,C ,
27-01-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26,29.6,27.6,80,27.5,2.4,5,310,1,C ,
